ISBN;Tytuł;Autor;Gatunek;
9788366436572;Stażystka;Alicja Sinicka;Kryminał;
9788381257978;W głębi lasu;Harlan Coben;Kryminał;
9788366553798;Osiedle RZNiW;Remigiusz Mróz;Kryminał;
9788380087583;Ballada ptaków i węży;Suzanne Collins;Literatura młodzieżowa;
9788381783392;Ryzyko gangstera;Anna Wolf;Literatura obyczajowa;
